Networks test result:
Layers: 14, neurons: 12, absolute error: 0.10
Layers: 14, neurons: 13, absolute error: 0.10
Layers: 14, neurons: 14, absolute error: 0.10
Layers: 14, neurons: 15, absolute error: 0.15
Layers: 14, neurons: 16, absolute error: 0.50
Layers: 14, neurons: 17, absolute error: 0.25
Layers: 14, neurons: 18, absolute error: 0.25
Layers: 14, neurons: 19, absolute error: 0.15
Layers: 14, neurons: 20, absolute error: 0.25
Layers: 15, neurons: 1, absolute error: 0.10
Layers: 15, neurons: 2, absolute error: 0.10
Layers: 15, neurons: 3, absolute error: 0.15
Layers: 15, neurons: 4, absolute error: 0.10
Layers: 15, neurons: 5, absolute error: 0.30
Layers: 15, neurons: 6, absolute error: 0.25
Layers: 15, neurons: 7, absolute error: 0.50
Layers: 15, neurons: 8, absolute error: 0.10
Layers: 15, neurons: 9, absolute error: 0.10
Layers: 15, neurons: 10, absolute error: 0.10
Layers: 15, neurons: 11, absolute error: 0.10
Layers: 15, neurons: 12, absolute error: 0.25
Layers: 15, neurons: 13, absolute error: 0.10
Layers: 15, neurons: 14, absolute error: 0.35
Layers: 15, neurons: 15, absolute error: 0.10
Layers: 15, neurons: 16, absolute error: 0.10
Layers: 15, neurons: 17, absolute error: 0.05
Layers: 15, neurons: 18, absolute error: 0.25
Layers: 15, neurons: 19, absolute error: 0.05
Layers: 15, neurons: 20, absolute error: 0.10
Layers: 16, neurons: 1, absolute error: 0.20
Layers: 16, neurons: 2, absolute error: 0.25
Layers: 16, neurons: 3, absolute error: 0.10
Layers: 16, neurons: 4, absolute error: 0.25
Layers: 16, neurons: 5, absolute error: 0.35
Layers: 16, neurons: 6, absolute error: 0.45
Layers: 16, neurons: 7, absolute error: 0.50
Layers: 16, neurons: 8, absolute error: 0.25
Layers: 16, neurons: 9, absolute error: 0.15
Layers: 16, neurons: 10, absolute error: 0.40
Layers: 16, neurons: 11, absolute error: 0.10
Layers: 16, neurons: 12, absolute error: 0.30
Layers: 16, neurons: 13, absolute error: 0.10
Layers: 16, neurons: 14, absolute error: 0.10
Layers: 16, neurons: 15, absolute error: 0.25
Layers: 16, neurons: 16, absolute error: 0.10
Layers: 16, neurons: 17, absolute error: 0.10
Layers: 16, neurons: 18, absolute error: 0.40
Layers: 16, neurons: 19, absolute error: 0.10
Layers: 16, neurons: 20, absolute error: 0.25
Layers: 17, neurons: 1, absolute error: 0.50
Layers: 17, neurons: 2, absolute error: 0.10
Layers: 17, neurons: 3, absolute error: 0.25
Layers: 17, neurons: 4, absolute error: 0.30
Layers: 17, neurons: 5, absolute error: 0.20
Layers: 17, neurons: 6, absolute error: 0.25
Layers: 17, neurons: 7, absolute error: 0.30
Layers: 17, neurons: 8, absolute error: 0.10
Layers: 17, neurons: 9, absolute error: 0.30
Layers: 17, neurons: 10, absolute error: 0.35
Layers: 17, neurons: 11, absolute error: 0.10
Layers: 17, neurons: 12, absolute error: 0.25
Layers: 17, neurons: 13, absolute error: 0.10
Layers: 17, neurons: 14, absolute error: 0.30
Layers: 17, neurons: 15, absolute error: 0.20
Layers: 17, neurons: 16, absolute error: 0.10
Layers: 17, neurons: 17, absolute error: 0.30
Layers: 17, neurons: 18, absolute error: 0.10
Layers: 17, neurons: 19, absolute error: 0.50
Layers: 17, neurons: 20, absolute error: 0.05
Layers: 18, neurons: 1, absolute error: 0.25
Layers: 18, neurons: 2, absolute error: 0.20
Layers: 18, neurons: 3, absolute error: 0.10
Layers: 18, neurons: 4, absolute error: 0.10
Layers: 18, neurons: 5, absolute error: 0.10
Layers: 18, neurons: 6, absolute error: 0.30
Layers: 18, neurons: 7, absolute error: 0.40
Layers: 18, neurons: 8, absolute error: 0.10
Layers: 18, neurons: 9, absolute error: 0.10
Layers: 18, neurons: 10, absolute error: 0.30
Layers: 18, neurons: 11, absolute error: 0.25
Layers: 18, neurons: 12, absolute error: 0.30
Layers: 18, neurons: 13, absolute error: 0.25
Layers: 18, neurons: 14, absolute error: 0.20
Layers: 18, neurons: 15, absolute error: 0.10
Layers: 18, neurons: 16, absolute error: 0.10
Layers: 18, neurons: 17, absolute error: 0.25
Layers: 18, neurons: 18, absolute error: 0.25
Layers: 18, neurons: 19, absolute error: 0.10
Layers: 18, neurons: 20, absolute error: 0.35
Layers: 19, neurons: 1, absolute error: 0.35
Layers: 19, neurons: 2, absolute error: 0.25
Layers: 19, neurons: 3, absolute error: 0.30
Layers: 19, neurons: 4, absolute error: 0.25
Layers: 19, neurons: 5, absolute error: 0.30
Layers: 19, neurons: 6, absolute error: 0.10
Layers: 19, neurons: 7, absolute error: 0.25
Layers: 19, neurons: 8, absolute error: 0.10
Layers: 19, neurons: 9, absolute error: 0.25
Layers: 19, neurons: 10, absolute error: 0.35
Layers: 19, neurons: 11, absolute error: 0.35
Layers: 19, neurons: 12, absolute error: 0.40
Layers: 19, neurons: 13, absolute error: 0.20
Layers: 19, neurons: 14, absolute error: 0.10
Layers: 19, neurons: 15, absolute error: 0.10
Layers: 19, neurons: 16, absolute error: 0.15
Layers: 19, neurons: 17, absolute error: 0.50
Layers: 19, neurons: 18, absolute error: 0.25
Layers: 19, neurons: 19, absolute error: 0.10
Layers: 19, neurons: 20, absolute error: 0.30
Layers: 20, neurons: 1, absolute error: 0.10
Layers: 20, neurons: 2, absolute error: 0.35
Layers: 20, neurons: 3, absolute error: 0.10
Layers: 20, neurons: 4, absolute error: 0.30
Layers: 20, neurons: 5, absolute error: 0.10
Layers: 20, neurons: 6, absolute error: 0.10
Layers: 20, neurons: 7, absolute error: 0.25
Layers: 20, neurons: 8, absolute error: 0.10
Layers: 20, neurons: 9, absolute error: 0.10
Layers: 20, neurons: 10, absolute error: 0.10
Layers: 20, neurons: 11, absolute error: 0.35
Layers: 20, neurons: 12, absolute error: 0.10
Layers: 20, neurons: 13, absolute error: 0.10
Layers: 20, neurons: 14, absolute error: 0.20
Layers: 20, neurons: 15, absolute error: 0.10
Layers: 20, neurons: 16, absolute error: 0.10
Layers: 20, neurons: 17, absolute error: 0.10
Layers: 20, neurons: 18, absolute error: 0.10
Layers: 20, neurons: 19, absolute error: 0.10
Layers: 20, neurons: 20, absolute error: 0.10
